id,max_x,max_y,max_z,min_x,min_y,min_z,mean_x,mean_y,mean_z,var_x,var_y,var_z,activity,isFall
96,1.216,0.864,1.728,-1.344,-3.104,-0.48,0.1358688524590164,-0.8676721311475405,0.37822950819672146,0.22869296640687983,0.7866031711905405,0.21237116044074175,Run Up Stairs,0
97,1.216,0.128,1.312,-0.512,-2.4,-0.064,0.23199999999999998,-0.8352,0.45920000000000016,0.1318784,0.67490816,0.13683456,Run Up Stairs,0
98,0.992,0.48,1.728,-0.736,-2.56,-0.416,0.10676363636363641,-0.9140363636363632,0.0945454545454545,0.06436821685950413,0.21894101685950412,0.1488595570247934,Run Up Stairs,0
99,1.28,0.832,1.76,-1.312,-3.328,-0.448,0.14942372881355936,-0.966779661016949,0.33111864406779656,0.1975982441827061,0.6409172904337835,0.2324371893134156,Run Up Stairs,0
100,1.28,0.832,1.76,-1.312,-3.328,-0.576,0.14913761467889916,-0.9837798165137609,0.31853211009174326,0.20536780675027355,0.8023538597761131,0.2398487076845385,Run Up Stairs,0
101,0.992,0.704,1.536,-0.672,-2.72,-0.576,0.20105660377358495,-0.9322264150943397,0.2523773584905661,0.10338061943752225,0.7013448543965827,0.1972904236383054,Run Up Stairs,0
102,1.056,0.544,1.472,-0.8,-2.304,-0.576,0.12828828828828834,-0.9282882882882884,0.10666666666666665,0.07536078175472773,0.3215451421150879,0.13687159159159157,Run Up Stairs,0
103,1.344,0.704,1.504,-1.024,-2.752,-0.608,0.19525423728813568,-0.9244745762711863,0.30210169491525424,0.2017347658718759,0.6753676391841421,0.19441320999712727,Run Up Stairs,0
104,1.472,0.768,1.504,-1.024,-2.752,-0.96,0.15551401869158876,-0.9441495327102802,0.2796261682242992,0.2337676890558128,0.6863742580138003,0.21006999109092492,Run Up Stairs,0
105,1.472,0.768,1.184,-0.736,-2.4,-0.96,0.11918840579710145,-0.9553623188405793,0.1576811594202899,0.12887215290905266,0.4287228397395505,0.17313966645662662,Run Up Stairs,0
106,0.128,-0.928,-0.032,0.096,-0.96,-0.064,0.1046153846153847,-0.9590769230769213,-0.03538461538461541,0.0002014674556213021,2.8686390532544196e-05,9.68520710059173e-05,Stand Still,0
107,0.128,-0.928,0,0.096,-0.96,-0.064,0.10270476190476198,-0.9593904761904744,-0.03748571428571432,0.00016959854875283424,1.913324263038536e-05,0.00016495455782312938,Stand Still,0
108,0.128,-0.928,0,0.096,-0.96,-0.064,0.10341052631578955,-0.9593263157894725,-0.043452631578947395,0.0001822209418282549,2.1104044321329535e-05,0.00025687933518005527,Stand Still,0
109,0.128,-0.832,-0.032,0.064,-0.96,-0.064,0.10509090909090917,-0.9559999999999989,-0.05418181818181822,0.00023153719008264472,0.0002516363636363634,0.00021778512396694195,Stand Still,0
110,0.128,-0.832,-0.032,0.064,-0.96,-0.064,0.10297029702970305,-0.9565148514851467,-0.046891089108910926,0.0001947416919909816,0.00022104185864130942,0.00025477031663562373,Stand Still,0
111,0.128,-0.928,-0.032,0.096,-0.96,-0.064,0.1023296703296704,-0.9589450549450538,-0.0365714285714286,0.00016248472406714154,3.264533268928847e-05,0.00012538775510204103,Stand Still,0
