uid,x,y,z,timeStamp,time,activity,activityID,isFall
a0:e6:f8:00:00:c0,1.152,0.416,0.032,1521638772,2018-03-21 13:26:12,Walk on flat ground,2,0
a0:e6:f8:00:00:c0,1.152,0.48,0.096,1521638772,2018-03-21 13:26:12,Walk on flat ground,2,0
a0:e6:f8:00:00:c0,0.896,0.384,-0.032,1521638772,2018-03-21 13:26:12,Walk on flat ground,2,0
a0:e6:f8:00:00:c1,0.096,-1.088,-0.096,1521638772,2018-03-21 13:26:12,Walk on flat ground,2,0
a0:e6:f8:00:00:c1,0.224,-1.12,0.16,1521638772,2018-03-21 13:26:12,Walk on flat ground,2,0
a0:e6:f8:00:00:c1,0.032,-0.96,0.128,1521638772,2018-03-21 13:26:12,Walk on flat ground,2,0
a0:e6:f8:00:00:c1,-0.064,-0.864,0.064,1521638772,2018-03-21 13:26:12,Walk on flat ground,2,0
a0:e6:f8:00:00:c1,0,-0.992,0.192,1521638772,2018-03-21 13:26:12,Walk on flat ground,2,0
a0:e6:f8:00:00:c1,0,-0.896,0.384,1521638772,2018-03-21 13:26:12,Walk on flat ground,2,0
a0:e6:f8:00:00:c0,0.992,0.32,-0.16,1521638772,2018-03-21 13:26:12,Walk on flat ground,2,0
a0:e6:f8:00:00:c0,1.024,0.32,-0.128,1521638772,2018-03-21 13:26:12,Walk on flat ground,2,0
a0:e6:f8:00:00:c0,0.992,0.352,-0.096,1521638772,2018-03-21 13:26:12,Walk on flat ground,2,0
a0:e6:f8:00:00:c0,0.992,0.352,-0.192,1521638772,2018-03-21 13:26:12,Walk on flat ground,2,0
a0:e6:f8:00:00:c0,0.928,0.352,-0.16,1521638772,2018-03-21 13:26:12,Walk on flat ground,2,0
a0:e6:f8:00:00:c0,0.928,0.352,-0.16,1521638772,2018-03-21 13:26:12,Walk on flat ground,2,0
a0:e6:f8:00:00:c0,0.864,0.32,-0.128,1521638772,2018-03-21 13:26:12,Walk on flat ground,2,0
a0:e6:f8:00:00:c0,0.864,0.288,-0.128,1521638772,2018-03-21 13:26:12,Walk on flat ground,2,0
a0:e6:f8:00:00:c0,0.864,0.288,-0.096,1521638772,2018-03-21 13:26:12,Walk on flat ground,2,0
a0:e6:f8:00:00:c0,0.96,0.256,-0.064,1521638772,2018-03-21 13:26:12,Walk on flat ground,2,0
a0:e6:f8:00:00:c0,0.992,0.224,-0.032,1521638772,2018-03-21 13:26:12,Walk on flat ground,2,0
a0:e6:f8:00:00:c0,1.12,0.192,-0.096,1521638773,2018-03-21 13:26:13,Walk on flat ground,2,0
a0:e6:f8:00:00:c0,0.928,0.288,0.16,1521638773,2018-03-21 13:26:13,Walk on flat ground,2,0
